dataset,n_episodes,n_frames,total_episodes_meta,total_frames_meta,fps,original_fps,downsample_stride,robot_type,codebase_version,n_video_keys,camera_key,height,width,codec,pix_fmt,len_min,len_p25,len_median,len_p75,len_max,len_mean,n_short_lt16,n_windows_lt16,n_tasks,task_sample,action_dim,action_names,state_dim,action_rows,action_nan,a_main_shoulder_pan_mean,a_main_shoulder_pan_std,a_main_shoulder_pan_min,a_main_shoulder_pan_max,a_main_shoulder_lift_mean,a_main_shoulder_lift_std,a_main_shoulder_lift_min,a_main_shoulder_lift_max,a_main_elbow_flex_mean,a_main_elbow_flex_std,a_main_elbow_flex_min,a_main_elbow_flex_max,a_main_wrist_flex_mean,a_main_wrist_flex_std,a_main_wrist_flex_min,a_main_wrist_flex_max,a_main_wrist_roll_mean,a_main_wrist_roll_std,a_main_wrist_roll_min,a_main_wrist_roll_max,a_main_gripper_mean,a_main_gripper_std,a_main_gripper_min,a_main_gripper_max,a_left_shoulder_pan_mean,a_left_shoulder_pan_std,a_left_shoulder_pan_min,a_left_shoulder_pan_max,a_left_shoulder_lift_mean,a_left_shoulder_lift_std,a_left_shoulder_lift_min,a_left_shoulder_lift_max,a_left_elbow_flex_mean,a_left_elbow_flex_std,a_left_elbow_flex_min,a_left_elbow_flex_max,a_left_wrist_flex_mean,a_left_wrist_flex_std,a_left_wrist_flex_min,a_left_wrist_flex_max,a_left_wrist_roll_mean,a_left_wrist_roll_std,a_left_wrist_roll_min,a_left_wrist_roll_max,a_left_gripper_mean,a_left_gripper_std,a_left_gripper_min,a_left_gripper_max
pietroom/holdthis,90,8100,90,8100,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,90,90.0,90.0,90.0,90,90.0,0,0,1,Hold this,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,8100,0,-65.937,22.788,-100.63,22.24,110.336,41.186,13.1,194.24,96.349,57.229,-11.25,181.76,16.927,31.508,-68.55,99.67,85.981,51.072,-63.28,153.72,7.325,18.546,-4.97,55.77,,,,,,,,,,,,,,,,,,,,,,,,
pranavsaroha/so100_carrot_2,63,5069,63,5069,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,67,76.0,80.0,83.5,109,80.46,0,0,1,pick a carrot and put it in the bin,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5069,0,-8.728,13.279,-43.68,14.15,122.883,63.738,20.92,202.76,81.756,74.197,-262.88,190.46,85.852,15.36,40.78,104.41,-5.836,9.748,-38.41,13.45,10.522,20.416,-0.8,85.55,,,,,,,,,,,,,,,,,,,,,,,,
pranavsaroha/so100_carrot_5,61,4863,61,4863,6,30,5,so100,v2.1,1,observation.images.image,720,1280,av1,yuv420p,13,76.0,79.0,84.0,107,79.72,1,1,1,pick a carrot and put it in the bin,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4863,0,-9.17,10.957,-40.08,9.93,136.381,44.683,31.46,190.72,92.656,66.902,-256.55,182.29,81.557,15.743,41.66,106.44,4.867,13.8,-48.69,47.81,10.173,19.129,-0.25,74.47,,,,,,,,,,,,,,,,,,,,,,,,
pranavsaroha/so100_legos4,58,17844,58,17844,6,30,5,so100,v2.1,1,observation.images.image,1080,1920,av1,yuv420p,8,329.0,329.0,329.0,329,307.66,1,1,1,legos4,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,17844,0,-2.491,13.067,-51.42,26.54,149.399,46.046,16.61,188.53,127.873,57.192,-264.38,174.73,74.219,15.361,25.22,109.69,-4.408,39.559,-173.85,133.86,6.67,14.092,-0.4,89.1,,,,,,,,,,,,,,,,,,,,,,,,
pranavsaroha/so100_onelego2,30,2027,30,2027,6,30,5,so100,v2.1,1,observation.images.image,1080,1920,av1,yuv420p,53,63.25,67.0,72.75,85,67.57,0,0,1,onelego2,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2027,0,1.185,7.448,-23.2,22.06,149.029,40.688,43.77,188.53,120.615,54.216,-254.44,174.73,74.053,16.905,37.88,109.69,-3.372,9.193,-31.82,25.31,6.195,12.459,-0.2,46.38,,,,,,,,,,,,,,,,,,,,,,,,
pranavsaroha/so100_onelego3,40,3281,40,3281,6,30,5,so100,v2.1,1,observation.images.image,1080,1920,av1,yuv420p,68,77.5,83.0,86.25,99,82.03,0,0,1,Pick up the green lego and drop it in the green bin,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3281,0,-1.627,11.708,-38.14,14.15,130.828,47.186,48.43,188.53,95.227,62.421,-269.3,174.73,84.57,20.663,44.91,109.69,1.394,13.932,-21.18,44.65,15.181,25.72,-0.4,86.11,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/left-arm-grasp-lego-brick,99,11880,99,11880,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,120,120.0,120.0,120.0,120,120.0,0,0,1,Grasp the lego brick and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,11880,0,17.035,14.071,-13.36,72.16,127.321,45.844,22.5,186.42,123.07,41.362,0.62,172.62,66.995,23.755,-14.5,105.47,-101.537,27.078,-197.23,22.68,13.198,19.427,-0.29,75.88,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team-7-left-arm-grasp-motor,99,11880,99,11880,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,120,120.0,120.0,120.0,120,120.0,0,0,1,Grasp the black motor and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,11880,0,6.128,13.933,-36.21,46.05,122.902,48.415,13.89,186.42,115.29,44.503,-5.19,172.62,66.654,27.257,-31.73,105.56,-86.714,23.037,-162.42,28.3,14.72,21.022,-0.1,72.36,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team-7-right-arm-grasp-tape,100,12000,100,12000,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,120,120.0,120.0,120.0,120,120.0,0,0,1,Grasp the tape and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,12000,0,-11.798,12.985,-55.2,25.22,132.437,46.264,22.24,186.42,122.27,45.003,3.43,172.71,70.079,19.407,-0.7,105.82,-82.79,12.112,-128.58,-40.34,12.664,18.546,-0.2,64.75,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team13-three-balls-stacking,101,9769,101,9769,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,74,89.0,97.0,104.0,126,96.72,0,0,1,Stack the balls on top of each other.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,9769,0,-0.139,16.744,-43.07,37.09,116.03,33.872,60.91,195.29,104.289,30.941,41.92,178.51,66.54,16.773,21.62,106.96,-79.293,9.981,-119.53,-47.02,20.745,24.758,-0.19,85.09,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team13-two-balls-stacking,51,2716,51,2716,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,42,49.0,52.0,56.5,71,53.25,0,0,1,Stack the balls on top of each other.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2716,0,-11.746,15.146,-38.06,8.26,128.289,37.924,75.59,195.29,120.852,27.054,82.88,172.88,64.984,10.448,39.2,88.07,-80.18,7.049,-95.45,-60.73,16.242,21.558,-0.19,85.77,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team16-can-stacking,40,4800,40,4800,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,120,120.0,120.0,120.0,120,120.0,0,0,1,Build a tower.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4800,0,1.249,16.629,-29.27,47.64,153.755,43.131,30.32,193.45,136.473,47.548,9.05,176.57,68.906,32.672,-27.16,113.47,-82.224,9.157,-104.5,-38.85,11.056,13.971,-0.09,58.71,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team16-water-pouring,50,5993,50,5993,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,115,120.0,120.0,120.0,120,119.86,0,0,1,Pouring water from cup to cup,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5993,0,-7.056,19.553,-52.47,42.8,127.361,42.307,11.34,193.62,119.984,44.508,-17.93,176.57,10.354,36.065,-75.32,113.55,-42.433,42.241,-165.32,89.12,17.159,16.661,-0.09,76.32,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team9-pick_chicken_place_plate,69,3960,69,3960,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,45,53.0,56.0,60.0,93,57.39,0,0,1,Pick up the chicke and place on orange plate,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3960,0,-0.343,15.41,-43.07,42.63,128.893,50.106,40.87,192.04,123.926,45.942,34.37,182.9,62.529,20.561,-15.73,102.13,-20.132,57.801,-162.6,108.37,14.126,17.32,-0.43,66.96,,,,,,,,,,,,,,,,,,,,,,,,
roboticshack/team9-pick_cube_place_static_plate,40,2205,40,2205,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,38,48.75,54.0,62.0,88,55.12,0,0,1,Pick up the green cube and place on orange plate,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2205,0,5.79,14.902,-39.29,50.71,122.979,52.546,32.7,193.1,113.708,52.218,25.84,182.2,70.233,18.848,-13.97,103.54,-19.501,43.168,-127.88,66.71,15.857,17.331,-0.26,59.22,,,,,,,,,,,,,,,,,,,,,,,,
samanthalhy/so100_herding_1,50,31772,50,31772,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,481,539.75,577.0,679.25,1072,635.44,0,0,1,Grasp a green tool and herd all the particles to the grey bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,31772,0,3.048,13.451,-25.22,32.87,82.791,13.427,50.54,189.23,92.68,16.074,46.41,177.45,76.981,6.806,54.49,98.96,-87.665,45.627,-188.7,10.63,0.438,2.885,-0.67,25.03,,,,,,,,,,,,,,,,,,,,,,,,
samsam0510/cube_reorientation_2,182,23188,182,23188,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,55,105.0,125.0,150.0,236,127.41,0,0,1,Reorient the cube.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,23188,0,-2.82,10.945,-49.92,51.24,77.758,46.211,1.67,191.16,74.042,48.245,-13.97,178.77,61.687,21.28,-15.21,103.8,-8.788,16.133,-87.63,37.18,2.608,7.495,-0.24,25.45,,,,,,,,,,,,,,,,,,,,,,,,
samsam0510/cube_reorientation_4,100,11398,100,11398,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,52,89.75,110.5,131.5,180,113.98,0,0,1,Reorient the cube.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,11398,0,-4.407,18.726,-59.41,50.19,101.236,35.916,33.4,190.63,122.029,28.175,30.32,174.55,49.883,10.786,16.0,81.83,-3.287,13.295,-47.2,33.84,-0.103,0.127,-0.16,4.55,,,,,,,,,,,,,,,,,,,,,,,,
samsam0510/glove_reorientation_1,100,6227,100,6227,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,29,49.0,58.0,72.5,108,62.27,0,0,1,Reorient the glove.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6227,0,-4.194,9.632,-42.89,35.77,128.967,37.845,62.14,190.63,133.659,26.878,69.08,178.68,50.263,12.813,-2.29,84.9,1.278,21.31,-70.66,74.18,3.893,6.673,-0.24,27.89,,,,,,,,,,,,,,,,,,,,,,,,
samsam0510/tooth_extraction_3,100,6619,100,6619,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,36,58.0,64.5,73.25,94,66.19,0,0,1,Extract the tooth.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6619,0,-0.468,11.244,-16.35,25.4,114.969,40.311,32.43,191.16,111.191,33.402,-1.32,176.75,68.74,8.741,32.52,103.71,-4.742,7.115,-31.38,21.62,3.549,5.039,-0.16,16.59,,,,,,,,,,,,,,,,,,,,,,,,
samsam0510/tooth_extraction_4,200,15285,200,15285,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,35,56.5,72.0,91.0,152,76.42,0,0,1,Extract the molar,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,15285,0,1.311,11.944,-41.66,44.38,98.271,46.878,10.9,191.16,87.839,49.715,-13.97,178.51,77.537,15.007,17.14,103.8,-0.451,23.042,-88.42,74.0,5.03,6.761,-0.16,37.15,,,,,,,,,,,,,,,,,,,,,,,,
shreyasgite/so100_base_env,252,19901,252,19901,6,30,5,so100,v2.0,1,observation.images.image,480,640,av1,yuv420p,16,74.0,79.0,84.0,90,78.97,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,19901,0,-0.314,30.411,-73.56,86.04,128.276,44.315,37.18,194.5,122.476,42.018,18.11,179.74,64.218,15.076,24.61,102.48,-5.567,16.048,-61.0,39.9,5.967,11.26,0.0,52.01,,,,,,,,,,,,,,,,,,,,,,,,
shreyasgite/so100_legocube_50,50,4171,50,4171,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,68,78.25,84.0,90.0,90,83.42,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4171,0,-12.273,33.137,-74.53,67.94,131.771,40.959,50.01,189.76,127.312,34.525,48.96,179.47,68.512,13.501,31.03,101.25,-8.768,14.964,-76.03,26.89,7.072,13.086,0.0,50.52,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/mond_1,30,3495,30,3495,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,115,116.0,117.0,117.0,117,116.5,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3495,0,-1.262,14.977,-50.36,29.18,41.113,61.692,-11.34,176.92,29.043,41.427,0.79,158.82,36.842,63.675,-112.68,103.45,-1.447,10.406,-47.11,23.47,8.041,14.518,-0.18,85.3,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/sihyun_3_17_2,30,5043,30,5043,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,80,172.25,174.0,175.0,175,168.1,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5043,0,1.466,26.637,-51.94,40.25,78.799,46.748,-10.63,148.54,65.097,41.474,1.41,147.39,32.081,54.101,-66.36,103.45,-96.947,13.673,-143.44,-61.79,6.062,6.884,-0.48,37.45,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/sihyun_3_17_5,30,6702,30,6702,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,232.25,233.0,234.0,234,223.4,1,1,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6702,0,3.972,22.513,-49.92,37.09,71.728,55.748,-14.24,144.84,48.018,41.871,-1.85,143.44,25.694,64.6,-90.18,110.3,-85.761,11.326,-119.71,-44.65,10.833,15.764,-3.64,50.19,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/sihyun_main_2,50,5819,50,5819,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,106,117.0,117.0,117.0,117,116.38,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5819,0,9.345,29.992,-36.56,100.9,49.417,60.89,-15.82,181.49,24.537,34.226,0.79,166.99,10.825,60.945,-99.76,77.96,-1.037,4.522,-18.9,18.02,7.023,10.161,-0.18,38.08,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/sihyun_main_3,30,3506,30,3506,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,115,117.0,117.0,117.0,117,116.87,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3506,0,-1.761,19.646,-48.52,50.54,39.053,57.843,-10.9,162.25,47.376,55.161,0.79,184.04,73.141,11.702,1.49,103.45,-0.435,22.288,-61.7,55.2,15.481,21.634,-0.18,72.69,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/suho_3_17_1,30,5224,30,5224,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,166,174.25,175.0,175.0,176,174.13,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5224,0,4.082,18.833,-49.57,62.75,59.666,58.039,-11.43,143.44,45.308,48.002,1.32,170.07,28.914,59.331,-91.41,103.45,-92.048,13.659,-152.67,-33.22,9.466,18.017,-0.57,73.95,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/suho_3_17_3,50,7009,50,7009,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,127,135.5,142.0,145.75,146,140.18,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,7009,0,2.643,17.381,-52.65,61.61,76.092,61.527,-15.56,153.9,39.544,39.623,0.7,171.21,-3.588,71.469,-112.85,103.45,10.189,27.581,-59.77,117.77,12.99,22.329,-0.37,82.47,,,,,,,,,,,,,,,,,,,,,,,,
sihyun77/suho_main_2,53,6152,53,6152,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,97,116.0,117.0,117.0,117,116.08,0,0,1,Grasp a lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6152,0,17.479,34.787,-38.32,105.73,79.052,62.546,-12.39,178.51,53.125,52.712,0.79,183.96,10.966,63.62,-112.32,103.36,-3.891,10.961,-57.92,32.87,10.473,13.694,-0.55,63.47,,,,,,,,,,,,,,,,,,,,,,,,
sixpigs1/so100_pick_cube_in_box,100,5686,100,5686,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,39,49.75,53.5,62.0,96,56.86,0,0,1,Pick up the red cube and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5686,0,6.95,13.951,-43.07,64.69,144.285,44.238,29.18,190.72,138.183,38.302,20.74,176.48,55.38,11.949,-19.51,96.77,-14.219,21.179,-131.57,15.38,6.408,9.139,0.0,46.24,,,,,,,,,,,,,,,,,,,,,,,,
sixpigs1/so100_stack_cube_error,80,4721,80,4721,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,43,54.75,58.0,64.0,79,59.01,0,0,4,Pick up the red cube and stack it on the green cube with position offset when grasping.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4721,0,4.176,11.921,-30.76,40.87,130.612,43.348,63.9,194.68,128.642,35.702,68.2,181.67,66.675,16.188,25.22,101.6,-14.516,21.811,-89.47,53.96,11.391,16.57,-0.22,73.51,,,,,,,,,,,,,,,,,,,,,,,,
therarelab/so100_pick_place_2,60,5026,60,5026,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,52,70.75,81.0,89.25,179,83.77,0,0,1,Pick a plaster roll and place,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5026,0,-1.168,19.498,-32.52,40.17,140.473,40.452,82.27,197.14,127.602,30.201,57.13,169.72,62.855,12.461,28.04,91.14,183.289,14.267,48.25,229.31,17.849,26.97,-8.36,91.46,,,,,,,,,,,,,,,,,,,,,,,,
tkc79/so100_lego_box_1,104,9360,104,9360,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,90,90.0,90.0,90.0,90,90.0,0,0,1,Grasp a lego block and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,9360,0,0.979,16.797,-45.53,51.86,142.116,45.2,30.67,196.0,137.576,38.398,22.76,177.98,68.428,10.33,11.51,104.15,8.814,22.811,-68.99,111.45,6.054,12.475,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,
tkc79/so100_lego_box_2,51,4482,51,4482,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,90.0,90.0,90.0,90,87.88,1,1,1,Grasp a lego block and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4482,0,0.208,12.999,-36.56,31.82,135.427,47.682,29.27,193.8,128.077,45.816,10.99,174.64,69.569,9.934,11.16,104.06,2.319,13.278,-32.7,54.32,5.904,12.659,0.0,60.82,,,,,,,,,,,,,,,,,,,,,,,,
triton7777/so100_dataset_mix,65,13269,65,13269,6,30,5,so100,v2.1,1,observation.images.s_left,480,640,h264,yuv420p,60,60.0,119.0,179.0,536,204.14,0,0,7,pick black tape and place inside white tape,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,13269,0,-16.159,20.951,-83.94,41.92,115.323,40.775,-0.35,182.37,101.698,42.981,-27.33,166.46,64.285,31.573,-78.22,110.04,-15.072,48.344,-190.28,128.41,11.894,14.541,-0.62,62.03,,,,,,,,,,,,,,,,,,,,,,,,
vladfatu/so100_above,50,6000,50,6000,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,120,120.0,120.0,120.0,120,120.0,0,0,1,Grab red object and place it in the box,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6000,0,26.435,33.053,-49.31,66.97,148.506,45.932,58.01,194.06,139.968,40.862,53.0,180.26,59.66,13.871,4.13,114.17,85.405,20.518,21.27,154.16,8.84,13.138,-0.18,48.74,,,,,,,,,,,,,,,,,,,,,,,,
vladfatu/so100_office,50,5997,50,5997,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,117,120.0,120.0,120.0,120,119.94,0,0,1,Grab red object and place it in the box,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5997,0,-0.127,14.991,-53.26,46.76,156.311,47.3,53.53,188.53,149.131,46.369,32.26,180.26,55.891,8.961,7.03,100.55,90.336,7.625,55.72,163.74,5.51,11.564,-0.27,56.92,,,,,,,,,,,,,,,,,,,,,,,,
weiye11/so100_410_zwy,101,7252,101,7252,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,30,65.0,72.0,79.0,91,71.8,0,0,1,Pick the cube,6,left_shoulder_pan|left_shoulder_lift|left_elbow_flex|left_wrist_flex|left_wrist_roll|left_gripper,6,7252,0,,,,,,,,,,,,,,,,,,,,,,,,,2.833,29.594,-92.72,110.74,130.993,42.663,27.42,190.81,128.32,34.537,9.32,175.61,61.479,12.746,13.45,104.85,-13.915,21.643,-103.71,41.13,11.633,13.778,-0.1,77.06
